Created by: G Romme, University of Toronto Libraries, GIS & Map Library,,
from Census of Canada, 2006: cartographic boundary file at the FSA level,,,
2008/04/17,,,,
,,,,
pruid,fsa,shape_area,shape_len,sq_km
24,J2X,7.22200349347e-03,0.43,64.97
24,J2Y,7.766077533e-03,0.58,69.87
24,J3A,3.64064368944e-04,0.09,3.27
24,J3B,5.30538032453e-03,0.38,47.76
24,J3E,6.03499460292e-03,0.46,53.90
24,J3G,9.11288405322e-03,0.65,81.40
24,J3H,4.70684810468e-03,0.38,42.09
24,J3L,0.02,0.84,182.03
24,J3M,7.04619543291e-03,0.55,63.20
24,J3N,4.22901384166e-03,0.30,37.84
24,J3P,0.01,1.52,90.05
24,J3R,1.41090248554e-03,0.23,12.46
24,J3T,0.01,0.57,100.03
24,J3V,5.14821593881e-03,0.39,46.06
24,J3X,0.01,0.82,95.56
24,J3Y,7.02796318005e-03,0.49,62.94
24,J3Z,6.69993524687e-05,0.04,0.59
24,J4B,7.51970893567e-03,0.82,67.17
24,J4G,9.49338432421e-04,0.28,8.48
24,J4H,5.02186881424e-04,0.14,4.49
24,J4J,7.30128003306e-04,0.15,6.53
24,J4K,7.67319835277e-04,0.22,6.86
24,J4L,8.35498363759e-04,0.15,7.47
24,J4M,7.99298188015e-04,0.16,7.14
24,J4N,8.06044300936e-04,0.14,7.20
24,J4P,3.70862408878e-04,0.11,3.32
24,J4R,4.22921003119e-04,0.16,3.78
24,J4S,1.93944513781e-04,0.14,1.73
24,J4T,5.15818202787e-04,0.10,4.61
24,J4V,5.22142650189e-04,0.15,4.67
24,J4W,6.96543489291e-04,0.23,6.24
24,J4X,6.28680784656e-04,0.16,5.63
24,J4Y,9.9516850761e-04,0.14,8.92
24,J4Z,2.71450971869e-03,0.30,24.34
24,J5A,7.60086553085e-03,0.55,68.31
24,J5B,5.82069740977e-04,0.18,5.22
24,J5C,9.7486993798e-04,0.41,8.75
24,J5J,0.01,0.53,115.11
24,J5K,0.01,0.54,97.52
24,J5L,5.68200422445e-03,0.46,50.49
24,J5M,0.01,0.63,122.56
24,J5R,7.28673125458e-03,0.74,65.42
24,J5T,7.96060705587e-03,0.45,70.55
24,J5V,7.35973636787e-03,0.50,64.64
24,J5W,0.01,1.08,142.68
24,J5X,6.61310084198e-03,0.61,58.69
24,J5Y,1.06232516642e-03,0.17,9.44
24,J5Z,5.85059707865e-03,0.38,52.03
24,J6A,1.84967660949e-03,0.40,16.46
24,J6E,8.40893241275e-03,0.63,74.28
24,J6J,4.05889470116e-03,0.69,36.46
24,J6K,3.63590677483e-03,0.34,32.66
24,J6N,7.91642877553e-03,1.08,71.25
24,J6R,5.30305646138e-03,0.31,47.71
24,J6S,0.01,1.08,93.58
24,J6T,2.15140662683e-03,0.31,19.39
24,J6V,1.9855235725e-03,0.24,17.68
24,J6W,2.09980014402e-03,0.33,18.70
24,J6X,4.45002694675e-03,0.48,39.62
24,J6Y,3.42969757789e-03,0.55,30.55
24,J6Z,1.17268556591e-03,0.17,10.45
24,J7A,1.23185147329e-03,0.24,10.99
24,J7B,7.70901866621e-04,0.14,6.87
24,J7C,4.75194390194e-03,0.33,42.34
24,J7E,3.59027446646e-03,0.61,32.03
24,J7G,1.16483099933e-03,0.27,10.40
24,J7H,3.28802702039e-04,0.12,2.93
24,J7J,0.01,0.76,131.18
24,J7K,9.48406849528e-03,0.62,84.34
24,J7L,1.86886809669e-03,0.19,16.63
24,J7M,5.77192828944e-03,0.49,51.30
24,J7N,0.04,1.50,370.25
24,J7P,1.40815055636e-03,0.26,12.58
24,J7R,7.41828691586e-03,0.60,66.30
24,J7T,0.01,0.93,150.40
24,J7V,0.01,1.33,104.94
24,J7X,1.34635840831e-03,0.21,12.12
24,J7Y,2.96051808383e-03,0.51,26.30
24,J7Z,1.95038999263e-03,0.25,17.34
24,J8A,0.01,0.70,135.78
24,J8B,0.01,0.68,128.00
24,J8C,0.02,1.07,197.92
24,J8E,0.02,1.01,220.90
24,J8G,0.06,1.61,535.37
24,J8H,0.02,1.27,212.69
24,J8L,0.07,1.43,651.06
24,J8M,7.60993752008e-03,0.58,68.06
24,J8N,0.07,1.56,683.87
24,J8P,4.15211476314e-03,0.41,37.19
24,J8R,8.42973645546e-03,0.55,75.42
24,J8T,2.38680146223e-03,0.34,21.38
24,J8V,0.01,0.71,170.20
24,J8X,5.76306175607e-04,0.12,5.16
24,J8Y,1.36284384825e-03,0.22,12.21
24,J8Z,1.09106456438e-03,0.22,9.77
